Portfolio value change between 2025-11-28 and 2025-12-01

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.03,0.015,1.48%,153181,157776.43,2297.72
AMP,1.71,-0.025,-1.44%,70000,119700.0,-1750.0
ASM,0.645,-0.02,-3.01%,57458,37060.41,-1149.16
BHP,42.08,0.41,0.98%,16361,688470.88,6708.01
CAN,0.011,0.001,10.00%,44090,484.99,44.09
CBA,151.64,-0.87,-0.57%,0,0.0,0.0
CNB,0.37,-0.02,-5.13%,10000,3700.0,-200.0
E25,0.305,-0.015,-4.69%,20000,6100.0,-300.0
ERA,0.002,0.0,0.00%,700000,1400.0,0.0
PTR,0.0,-0.265,-100.00%,9412,0.0,-2494.18
VML,0.225,-0.005,-2.17%,6000,1350.0,-30.0
WBC,37.26,-0.33,-0.88%,0,0.0,0.0
WDS,25.16,0.23,0.92%,1288,32406.08,296.24
TOTAL,,,,,1048448.79,3422.71
