Portfolio value change between 2026-05-13 and 2026-05-14

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.575,0.02,1.29%,153181,241260.07,3063.62
AMP,1.545,0.02,1.31%,70000,108150.0,1400.0
ASM,1.585,-0.075,-4.52%,57458,91070.93,-4309.35
BHP,62.06,0.54,0.88%,16361,1015363.66,8834.94
CAN,0.005,0.0,0.00%,44090,220.45,0.0
CBA,156.42,2.75,1.79%,0,0.0,0.0
CNB,0.62,0.07,12.73%,10000,6200.0,700.0
E25,0.295,-0.005,-1.67%,20000,5900.0,-100.0
ERA,0.003,0.0,0.00%,700000,2100.0,0.0
PTR,0.125,0.005,4.17%,9412,1176.5,47.06
VML,0.13,-0.005,-3.70%,6000,780.0,-30.0
WBC,35.72,0.15,0.42%,0,0.0,0.0
WDS,30.62,-0.25,-0.81%,1288,39438.56,-322.0
TOTAL,,,,,1511660.18,9284.27
