Portfolio value change between 2026-05-28 and 2026-05-29

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.48,0.08,5.71%,153181,226707.88,12254.48
AMP,1.595,0.025,1.59%,70000,111650.0,1750.0
ASM,1.45,0.025,1.75%,57458,83314.1,1436.45
BHP,62.31,1.76,2.91%,13000,810030.0,22880.0
CAN,0.004,0.0,0.00%,44090,176.36,0.0
CBA,165.02,3.61,2.24%,0,0.0,0.0
CNB,0.73,0.075,11.45%,10000,7300.0,750.0
CSL,96.61,-0.98,-1.00%,2000,193220.0,-1960.0
E25,0.265,0.005,1.92%,20000,5300.0,100.0
ERA,0.002,0.0,0.00%,700000,1400.0,0.0
PTR,0.11,0.005,4.76%,9412,1035.32,47.06
VML,0.13,0.0,0.00%,6000,780.0,0.0
WBC,36.0,0.08,0.22%,0,0.0,0.0
WDS,30.66,0.01,0.03%,1288,39490.08,12.88
TOTAL,,,,,1480403.74,37270.87
